date,location,value
2020-03-28,72,0
2020-03-28,44,0
2020-03-28,45,0
2020-03-28,47,0
2020-03-28,48,0
2020-03-28,US,0
2020-03-28,51,0
2020-03-28,50,0
2020-03-28,53,0
2020-03-28,55,0
2020-03-28,54,0
2020-03-28,56,0
2020-04-04,02,0
2020-04-04,01,0
2020-04-04,05,0
2020-04-04,04,0
2020-04-04,06,0
2020-04-04,08,0
2020-04-04,09,0
2020-04-04,11,0
2020-04-04,10,0
2020-04-04,12,0
2020-04-04,13,0
2020-04-04,15,0
2020-04-04,19,0
2020-04-04,16,0
2020-04-04,17,0
2020-04-04,18,0
2020-04-04,20,0
2020-04-04,21,0
2020-04-04,22,0
2020-04-04,25,0
2020-04-04,24,0
2020-04-04,23,0
2020-04-04,26,0
2020-04-04,27,0
2020-04-04,29,0
2020-04-04,28,0
2020-04-04,30,0
2020-04-04,37,0
2020-04-04,38,0
2020-04-04,31,0
2020-04-04,33,0
2020-04-04,34,0
2020-04-04,35,0
2020-04-04,32,0
2020-04-04,36,0
2020-04-04,39,0
2020-04-04,40,0
2020-04-04,41,0
2020-04-04,42,0
2020-04-04,72,0
2020-04-04,44,0
2020-04-04,45,0
2020-04-04,46,0
2020-04-04,47,0
2020-04-04,48,0
2020-04-04,US,0
2020-04-04,49,0
2020-04-04,51,0
2020-04-04,50,0
2020-04-04,53,0
2020-04-04,55,0
2020-04-04,54,0
2020-04-04,56,0
2020-04-11,02,0
2020-04-11,01,0
2020-04-11,05,0
2020-04-11,04,0
2020-04-11,06,0
2020-04-11,08,0
2020-04-11,09,0
2020-04-11,11,0
2020-04-11,10,0
2020-04-11,12,0
2020-04-11,13,0
2020-04-11,15,0
2020-04-11,19,0
2020-04-11,16,0
2020-04-11,17,0
2020-04-11,18,0
2020-04-11,20,0
2020-04-11,21,0
2020-04-11,22,0
2020-04-11,25,0
2020-04-11,24,0
2020-04-11,23,0
2020-04-11,26,0
2020-04-11,27,0
2020-04-11,29,0
2020-04-11,28,0
2020-04-11,30,0
2020-04-11,37,0
2020-04-11,38,0
2020-04-11,31,0
2020-04-11,33,0
2020-04-11,34,0
2020-04-11,35,0
2020-04-11,32,0
2020-04-11,36,0
2020-04-11,39,0
2020-04-11,40,0
2020-04-11,41,0
2020-04-11,42,0
2020-04-11,72,0
2020-04-11,44,0
2020-04-11,45,0
2020-04-11,46,0
2020-04-11,47,0
2020-04-11,48,0
2020-04-11,US,0
2020-04-11,49,0
2020-04-11,51,0
2020-04-11,50,0
2020-04-11,53,0
2020-04-11,55,0
2020-04-11,54,0
2020-04-11,56,0
2020-04-18,02,0
2020-04-18,01,0
2020-04-18,05,0
2020-04-18,04,0
2020-04-18,06,0
2020-04-18,08,0
2020-04-18,09,0
2020-04-18,11,0
2020-04-18,10,0
2020-04-18,12,0
2020-04-18,13,0
2020-04-18,15,0
2020-04-18,19,0
2020-04-18,16,0
2020-04-18,17,0
2020-04-18,18,0
2020-04-18,20,0
2020-04-18,21,0
2020-04-18,22,0
2020-04-18,25,0
2020-04-18,24,0
2020-04-18,23,0
2020-04-18,26,0
2020-04-18,27,0
2020-04-18,29,0
2020-04-18,28,0
2020-04-18,30,0
2020-04-18,37,0
2020-04-18,38,0
2020-04-18,31,0
2020-04-18,33,0
2020-04-18,34,0
2020-04-18,35,0
2020-04-18,32,0
2020-04-18,36,0
2020-04-18,39,0
2020-04-18,40,0
2020-04-18,41,0
2020-04-18,42,0
2020-04-18,72,0
2020-04-18,44,0
2020-04-18,45,0
2020-04-18,46,0
2020-04-18,47,0
2020-04-18,48,0
2020-04-18,US,0
2020-04-18,49,0
2020-04-18,51,0
2020-04-18,50,0
2020-04-18,53,0
2020-04-18,55,0
2020-04-18,54,0
2020-04-18,56,0
2020-04-25,02,0
2020-04-25,01,0
2020-04-25,05,0
2020-04-25,04,0
2020-04-25,06,0
2020-04-25,08,0
2020-04-25,09,0
2020-04-25,11,0
2020-04-25,10,0
2020-04-25,12,0
2020-04-25,13,0
2020-04-25,15,0
2020-04-25,19,0
2020-04-25,16,0
2020-04-25,17,0
2020-04-25,18,0
2020-04-25,20,0
2020-04-25,21,0
2020-04-25,22,0
2020-04-25,25,0
2020-04-25,24,0
2020-04-25,23,0
2020-04-25,26,0
2020-04-25,27,0
2020-04-25,29,0
2020-04-25,28,0
2020-04-25,30,0
2020-04-25,37,0
2020-04-25,38,0
2020-04-25,31,0
2020-04-25,33,0
2020-04-25,34,0
2020-04-25,35,0
2020-04-25,32,0
2020-04-25,36,0
2020-04-25,39,0
2020-04-25,40,0
2020-04-25,41,0
2020-04-25,42,0
2020-04-25,72,0
2020-04-25,44,0
2020-04-25,45,0
2020-04-25,46,0
2020-04-25,47,0
2020-04-25,48,0
2020-04-25,US,0
2020-04-25,49,0
2020-04-25,51,0
2020-04-25,50,0
2020-04-25,53,0
2020-04-25,55,0
2020-04-25,54,0
2020-04-25,56,0
2020-05-02,02,0
2020-05-02,01,0
2020-05-02,05,0
2020-05-02,04,0
2020-05-02,06,0
2020-05-02,08,0
2020-05-02,09,0
2020-05-02,11,0
2020-05-02,10,0
2020-05-02,12,0
2020-05-02,13,0
2020-05-02,15,0
2020-05-02,19,0
2020-05-02,16,0
2020-05-02,17,0
2020-05-02,18,0
2020-05-02,20,0
2020-05-02,21,0
2020-05-02,22,0
2020-05-02,25,0
2020-05-02,24,0
2020-05-02,23,0
2020-05-02,26,0
2020-05-02,27,0
2020-05-02,29,0
2020-05-02,28,0
2020-05-02,30,0
2020-05-02,37,0
2020-05-02,38,0
2020-05-02,31,0
2020-05-02,33,0
2020-05-02,34,0
2020-05-02,35,0
2020-05-02,32,0
2020-05-02,36,0
2020-05-02,39,0
2020-05-02,40,0
2020-05-02,41,0
2020-05-02,42,0
2020-05-02,72,0
2020-05-02,44,0
2020-05-02,45,0
2020-05-02,46,0
2020-05-02,47,0
2020-05-02,48,0
2020-05-02,US,0
2020-05-02,49,0
2020-05-02,51,0
2020-05-02,50,0
2020-05-02,53,0
2020-05-02,55,0
2020-05-02,54,0
2020-05-02,56,0
2020-05-09,02,0
2020-05-09,01,0
2020-05-09,05,0
2020-05-09,04,0
2020-05-09,06,0
2020-05-09,08,0
2020-05-09,09,0
2020-05-09,11,0
2020-05-09,10,0
2020-05-09,12,0
2020-05-09,13,0
2020-05-09,15,0
2020-05-09,19,0
2020-05-09,16,0
2020-05-09,17,0
2020-05-09,18,0
2020-05-09,20,0
2020-05-09,21,0
2020-05-09,22,0
2020-05-09,25,0
2020-05-09,24,0
2020-05-09,23,0
2020-05-09,26,0
2020-05-09,27,0
2020-05-09,29,0
2020-05-09,28,0
2020-05-09,30,0
2020-05-09,37,0
2020-05-09,38,0
2020-05-09,31,0
2020-05-09,33,0
2020-05-09,34,0
2020-05-09,35,0
2020-05-09,32,0
2020-05-09,36,0
2020-05-09,39,0
2020-05-09,40,0
2020-05-09,41,0
2020-05-09,42,0
2020-05-09,72,0
2020-05-09,44,0
2020-05-09,45,0
2020-05-09,46,0
2020-05-09,47,0
2020-05-09,48,0
2020-05-09,US,0
2020-05-09,49,0
2020-05-09,51,0
2020-05-09,50,0
2020-05-09,53,0
2020-05-09,55,0
2020-05-09,54,0
2020-05-09,56,0
2020-05-16,02,0
2020-05-16,01,0
2020-05-16,05,0
2020-05-16,04,0
2020-05-16,06,0
2020-05-16,08,0
2020-05-16,09,0
2020-05-16,11,0
2020-05-16,10,0
2020-05-16,12,0
2020-05-16,13,0
2020-05-16,15,0
2020-05-16,19,0
2020-05-16,16,0
2020-05-16,17,0
2020-05-16,18,0
2020-05-16,20,0
2020-05-16,21,0
2020-05-16,22,0
2020-05-16,25,0
2020-05-16,24,0
2020-05-16,23,0
2020-05-16,26,0
2020-05-16,27,0
2020-05-16,29,0
2020-05-16,28,0
2020-05-16,30,0
2020-05-16,37,0
2020-05-16,38,0
2020-05-16,31,0
2020-05-16,33,0
2020-05-16,34,0
2020-05-16,35,0
2020-05-16,32,0
2020-05-16,36,0
2020-05-16,39,0
2020-05-16,40,0
2020-05-16,41,0
2020-05-16,42,0
2020-05-16,72,0
2020-05-16,44,0
2020-05-16,45,0
2020-05-16,46,0
2020-05-16,47,0
2020-05-16,48,0
2020-05-16,US,0
2020-05-16,49,0
2020-05-16,51,0
2020-05-16,50,0
2020-05-16,53,0
2020-05-16,55,0
2020-05-16,54,0
2020-05-16,56,0
2020-05-23,02,0
2020-05-23,01,0
2020-05-23,05,0
2020-05-23,04,0
2020-05-23,06,0
2020-05-23,08,0
2020-05-23,09,0
2020-05-23,11,0
2020-05-23,10,0
2020-05-23,12,0
2020-05-23,13,0
2020-05-23,15,0
2020-05-23,19,0
2020-05-23,16,0
2020-05-23,17,0
2020-05-23,18,0
2020-05-23,20,0
2020-05-23,21,0
2020-05-23,22,0
2020-05-23,25,0
2020-05-23,24,0
2020-05-23,23,0
2020-05-23,26,0
2020-05-23,27,0
2020-05-23,29,0
2020-05-23,28,0
2020-05-23,30,0
2020-05-23,37,0
2020-05-23,38,0
2020-05-23,31,0
2020-05-23,33,0
2020-05-23,34,0
2020-05-23,35,0
2020-05-23,32,0
2020-05-23,36,0
2020-05-23,39,0
2020-05-23,40,0
2020-05-23,41,0
2020-05-23,42,0
2020-05-23,72,0
2020-05-23,44,0
2020-05-23,45,0
2020-05-23,46,0
2020-05-23,47,0
2020-05-23,48,0
2020-05-23,US,0
2020-05-23,49,0
2020-05-23,51,0
2020-05-23,50,0
2020-05-23,53,0
2020-05-23,55,0
2020-05-23,54,0
2020-05-23,56,0
2020-05-30,02,0
2020-05-30,01,0
2020-05-30,05,0
2020-05-30,04,0
2020-05-30,06,0
2020-05-30,08,0
2020-05-30,09,0
2020-05-30,11,0
2020-05-30,10,0
2020-05-30,12,0
2020-05-30,13,0
2020-05-30,15,0
2020-05-30,19,0
2020-05-30,16,0
2020-05-30,17,0
2020-05-30,18,0
2020-05-30,20,0
2020-05-30,21,0
2020-05-30,22,0
2020-05-30,25,0
2020-05-30,24,0
2020-05-30,23,0
2020-05-30,26,0
2020-05-30,27,0
2020-05-30,29,0
2020-05-30,28,0
2020-05-30,30,0
2020-05-30,37,0
2020-05-30,38,0
2020-05-30,31,0
2020-05-30,33,0
2020-05-30,34,0
2020-05-30,35,0
2020-05-30,32,0
2020-05-30,36,0
2020-05-30,39,0
2020-05-30,40,0
2020-05-30,41,0
2020-05-30,42,0
2020-05-30,72,0
2020-05-30,44,0
2020-05-30,45,0
2020-05-30,46,0
2020-05-30,47,0
2020-05-30,48,0
2020-05-30,US,0
2020-05-30,49,0
2020-05-30,51,0
2020-05-30,50,0
2020-05-30,53,0
2020-05-30,55,0
2020-05-30,54,0
2020-05-30,56,0
2020-06-06,02,0
2020-06-06,01,0
2020-06-06,05,0
2020-06-06,04,0
2020-06-06,06,0
2020-06-06,08,0
2020-06-06,09,0
2020-06-06,11,0
2020-06-06,10,0
2020-06-06,12,0
2020-06-06,13,0
2020-06-06,15,0
2020-06-06,19,0
2020-06-06,16,0
2020-06-06,17,0
2020-06-06,18,0
2020-06-06,20,0
2020-06-06,21,0
2020-06-06,22,0
2020-06-06,25,0
2020-06-06,24,0
2020-06-06,23,0
2020-06-06,26,0
2020-06-06,27,0
2020-06-06,29,0
2020-06-06,28,0
2020-06-06,30,0
2020-06-06,37,0
2020-06-06,38,0
2020-06-06,31,0
2020-06-06,33,0
2020-06-06,34,0
2020-06-06,35,0
2020-06-06,32,0
2020-06-06,36,0
2020-06-06,39,0
2020-06-06,40,0
2020-06-06,41,0
2020-06-06,42,0
2020-06-06,72,0
2020-06-06,44,0
2020-06-06,45,0
2020-06-06,46,0
2020-06-06,47,0
2020-06-06,48,0
2020-06-06,US,0
2020-06-06,49,0
2020-06-06,51,0
2020-06-06,50,0
2020-06-06,53,0
2020-06-06,55,0
2020-06-06,54,0
2020-06-06,56,0
2020-06-13,02,0
2020-06-13,01,0
2020-06-13,05,0
2020-06-13,04,0
2020-06-13,06,0
2020-06-13,08,0
2020-06-13,09,0
2020-06-13,11,0
2020-06-13,10,0
2020-06-13,12,0
2020-06-13,13,0
2020-06-13,15,0
2020-06-13,19,0
2020-06-13,16,0
2020-06-13,17,0
2020-06-13,18,0
2020-06-13,20,0
2020-06-13,21,0
2020-06-13,22,0
2020-06-13,25,0
2020-06-13,24,0
2020-06-13,23,0
2020-06-13,26,0
2020-06-13,27,0
2020-06-13,29,0
2020-06-13,28,0
2020-06-13,30,0
2020-06-13,37,0
2020-06-13,38,0
2020-06-13,31,0
2020-06-13,33,0
2020-06-13,34,0
2020-06-13,35,0
2020-06-13,32,0
2020-06-13,36,0
2020-06-13,39,0
2020-06-13,40,0
2020-06-13,41,0
2020-06-13,42,0
2020-06-13,72,0
2020-06-13,44,0
2020-06-13,45,0
2020-06-13,46,0
2020-06-13,47,0
2020-06-13,48,0
2020-06-13,US,0
2020-06-13,49,0
2020-06-13,51,0
2020-06-13,50,0
2020-06-13,53,0
2020-06-13,55,0
2020-06-13,54,0
2020-06-13,56,0
2020-06-20,02,0
2020-06-20,01,0
2020-06-20,05,0
2020-06-20,04,0
2020-06-20,06,0
2020-06-20,08,0
2020-06-20,09,0
2020-06-20,11,0
2020-06-20,10,0
2020-06-20,12,0
2020-06-20,13,0
2020-06-20,15,0
2020-06-20,19,0
2020-06-20,16,0
2020-06-20,17,0
2020-06-20,18,0
2020-06-20,20,0
2020-06-20,21,0
2020-06-20,22,0
2020-06-20,25,0
2020-06-20,24,0
2020-06-20,23,0
2020-06-20,26,0
2020-06-20,27,0
2020-06-20,29,0
2020-06-20,28,0
2020-06-20,30,0
2020-06-20,37,0
2020-06-20,38,0
2020-06-20,31,0
2020-06-20,33,0
2020-06-20,34,0
2020-06-20,35,0
2020-06-20,32,0
2020-06-20,36,0
2020-06-20,39,0
2020-06-20,40,0
2020-06-20,41,0
2020-06-20,42,0
2020-06-20,72,0
2020-06-20,44,0
2020-06-20,45,0
2020-06-20,46,0
2020-06-20,47,0
2020-06-20,48,0
2020-06-20,US,0
2020-06-20,49,0
2020-06-20,51,0
2020-06-20,50,0
2020-06-20,53,0
2020-06-20,55,0
2020-06-20,54,0
2020-06-20,56,0
2020-06-27,02,0
2020-06-27,01,0
2020-06-27,05,0
2020-06-27,04,0
2020-06-27,06,0
2020-06-27,08,0
2020-06-27,09,0
2020-06-27,11,0
2020-06-27,10,0
2020-06-27,12,0
2020-06-27,13,0
2020-06-27,15,0
2020-06-27,19,0
2020-06-27,16,0
2020-06-27,17,0
2020-06-27,18,0
2020-06-27,20,0
2020-06-27,21,0
2020-06-27,22,0
2020-06-27,25,0
2020-06-27,24,0
2020-06-27,23,0
2020-06-27,26,0
2020-06-27,27,0
2020-06-27,29,0
2020-06-27,28,0
2020-06-27,30,0
2020-06-27,37,0
2020-06-27,38,0
2020-06-27,31,0
2020-06-27,33,0
2020-06-27,34,0
2020-06-27,35,0
2020-06-27,32,0
2020-06-27,36,0
2020-06-27,39,0
2020-06-27,40,0
2020-06-27,41,0
2020-06-27,42,0
2020-06-27,72,0
2020-06-27,44,0
2020-06-27,45,0
2020-06-27,46,0
2020-06-27,47,0
2020-06-27,48,0
2020-06-27,US,0
2020-06-27,49,0
2020-06-27,51,0
2020-06-27,50,0
2020-06-27,53,0
2020-06-27,55,0
2020-06-27,54,0
2020-06-27,56,0
2020-07-04,02,0
2020-07-04,01,0
2020-07-04,05,0
2020-07-04,04,0
2020-07-04,06,0
2020-07-04,08,0
2020-07-04,09,0
2020-07-04,11,0
2020-07-04,10,0
2020-07-04,12,0
2020-07-04,13,0
2020-07-04,15,0
2020-07-04,19,0
2020-07-04,16,0
2020-07-04,17,0
2020-07-04,18,0
2020-07-04,20,0
2020-07-04,21,0
2020-07-04,22,0
2020-07-04,25,0
2020-07-04,24,0
2020-07-04,23,0
2020-07-04,26,0
2020-07-04,27,0
2020-07-04,29,0
2020-07-04,28,0
2020-07-04,30,0
2020-07-04,37,0
2020-07-04,38,0
2020-07-04,31,0
2020-07-04,33,0
2020-07-04,34,0
2020-07-04,35,0
2020-07-04,32,0
2020-07-04,36,0
2020-07-04,39,0
2020-07-04,40,0
2020-07-04,41,0
2020-07-04,42,0
2020-07-04,72,0
2020-07-04,44,0
2020-07-04,45,0
2020-07-04,46,0
2020-07-04,47,0
2020-07-04,48,0
2020-07-04,US,0
2020-07-04,49,0
2020-07-04,51,0
2020-07-04,50,0
2020-07-04,53,0
2020-07-04,55,0
2020-07-04,54,0
2020-07-04,56,0
2020-07-11,02,0
2020-07-11,01,0
2020-07-11,05,0
2020-07-11,04,0
2020-07-11,06,0
2020-07-11,08,0
2020-07-11,09,0
2020-07-11,11,0
2020-07-11,10,0
2020-07-11,12,0
2020-07-11,13,0
2020-07-11,15,0
2020-07-11,19,0
2020-07-11,16,0
2020-07-11,17,0
2020-07-11,18,0
2020-07-11,20,0
2020-07-11,21,0
2020-07-11,22,0
2020-07-11,25,0
2020-07-11,24,0
2020-07-11,23,0
2020-07-11,26,0
2020-07-11,27,0
2020-07-11,29,0
2020-07-11,28,0
2020-07-11,30,0
2020-07-11,37,0
2020-07-11,38,0
2020-07-11,31,0
2020-07-11,33,0
2020-07-11,34,0
2020-07-11,35,0
2020-07-11,32,0
2020-07-11,36,0
2020-07-11,39,0
2020-07-11,40,0
2020-07-11,41,0
2020-07-11,42,0
2020-07-11,72,0
2020-07-11,44,0
2020-07-11,45,0
2020-07-11,46,0
2020-07-11,47,0
2020-07-11,48,0
2020-07-11,US,0
2020-07-11,49,0
2020-07-11,51,0
2020-07-11,50,0
2020-07-11,53,0
2020-07-11,55,0
2020-07-11,54,0
2020-07-11,56,0
2020-07-18,02,0
2020-07-18,01,0
2020-07-18,05,0
2020-07-18,04,0
2020-07-18,06,0
2020-07-18,08,0
2020-07-18,09,0
2020-07-18,11,0
2020-07-18,10,0
2020-07-18,12,0
2020-07-18,13,0
2020-07-18,15,0
2020-07-18,19,0
2020-07-18,16,0
2020-07-18,17,0
2020-07-18,18,0
2020-07-18,20,0
2020-07-18,21,0
2020-07-18,22,0
2020-07-18,25,0
2020-07-18,24,0
2020-07-18,23,0
2020-07-18,26,0
2020-07-18,27,0
2020-07-18,29,0
2020-07-18,28,0
2020-07-18,30,0
2020-07-18,37,0
2020-07-18,38,0
2020-07-18,31,0
2020-07-18,33,0
2020-07-18,34,0
2020-07-18,35,0
2020-07-18,32,0
2020-07-18,36,0
2020-07-18,39,0
2020-07-18,40,0
2020-07-18,41,0
2020-07-18,42,0
2020-07-18,72,0
2020-07-18,44,0
2020-07-18,45,0
2020-07-18,46,0
2020-07-18,47,0
2020-07-18,48,0
2020-07-18,US,0
2020-07-18,49,0
2020-07-18,51,0
2020-07-18,50,0
2020-07-18,53,0
2020-07-18,55,0
2020-07-18,54,0
2020-07-18,56,0
2020-07-25,02,0
2020-07-25,01,0
2020-07-25,05,0
2020-07-25,04,0
2020-07-25,06,0
2020-07-25,08,0
2020-07-25,09,0
2020-07-25,11,0
2020-07-25,10,0
2020-07-25,12,0
2020-07-25,13,0
2020-07-25,15,0
2020-07-25,19,0
2020-07-25,16,0
2020-07-25,17,0
2020-07-25,18,0
2020-07-25,20,0
2020-07-25,21,0
2020-07-25,22,0
2020-07-25,25,0
2020-07-25,24,0
2020-07-25,23,0
2020-07-25,26,0
2020-07-25,27,0
2020-07-25,29,0
2020-07-25,28,0
2020-07-25,30,0
2020-07-25,37,0
2020-07-25,38,0
2020-07-25,31,0
2020-07-25,33,0
2020-07-25,34,0
2020-07-25,35,0
2020-07-25,32,0
2020-07-25,36,0
2020-07-25,39,0
2020-07-25,40,0
2020-07-25,41,0
2020-07-25,42,0
2020-07-25,72,0
2020-07-25,44,0
2020-07-25,45,0
2020-07-25,46,0
2020-07-25,47,0
2020-07-25,48,0
2020-07-25,US,0
2020-07-25,49,0
2020-07-25,51,0
2020-07-25,50,0
2020-07-25,53,0
2020-07-25,55,0
2020-07-25,54,0
2020-07-25,56,0
2020-08-01,02,0
2020-08-01,01,0
2020-08-01,05,0
2020-08-01,04,0
2020-08-01,06,0
2020-08-01,08,0
2020-08-01,09,0
2020-08-01,11,0
2020-08-01,10,0
2020-08-01,12,0
2020-08-01,13,0
2020-08-01,15,0
2020-08-01,19,0
2020-08-01,16,0
2020-08-01,17,0
2020-08-01,18,0
2020-08-01,20,0
2020-08-01,21,0
2020-08-01,22,0
2020-08-01,25,0
2020-08-01,24,0
2020-08-01,23,0
2020-08-01,26,0
2020-08-01,27,0
2020-08-01,29,0
2020-08-01,28,0
2020-08-01,30,0
2020-08-01,37,0
2020-08-01,38,0
2020-08-01,31,0
2020-08-01,33,0
2020-08-01,34,0
2020-08-01,35,0
2020-08-01,32,0
2020-08-01,36,0
2020-08-01,39,0
2020-08-01,40,0
2020-08-01,41,0
2020-08-01,42,0
2020-08-01,72,0
2020-08-01,44,0
2020-08-01,45,0
2020-08-01,46,0
2020-08-01,47,0
2020-08-01,48,0
2020-08-01,US,0
2020-08-01,49,0
2020-08-01,51,0
2020-08-01,50,0
2020-08-01,53,0
2020-08-01,55,0
2020-08-01,54,0
2020-08-01,56,0
2020-08-08,02,0
2020-08-08,01,0
2020-08-08,05,0
2020-08-08,04,0
2020-08-08,06,0
2020-08-08,08,0
2020-08-08,09,0
2020-08-08,11,0
2020-08-08,10,0
2020-08-08,12,0
2020-08-08,13,0
2020-08-08,15,0
2020-08-08,19,0
2020-08-08,16,0
2020-08-08,17,0
2020-08-08,18,0
2020-08-08,20,0
2020-08-08,21,0
2020-08-08,22,0
2020-08-08,25,0
2020-08-08,24,0
2020-08-08,23,0
2020-08-08,26,0
2020-08-08,27,0
2020-08-08,29,0
2020-08-08,28,0
2020-08-08,30,0
2020-08-08,37,0
2020-08-08,38,0
2020-08-08,31,0
2020-08-08,33,0
2020-08-08,34,0
2020-08-08,35,0
2020-08-08,32,0
2020-08-08,36,0
2020-08-08,39,0
2020-08-08,40,0
2020-08-08,41,0
2020-08-08,42,0
2020-08-08,72,0
2020-08-08,44,0
2020-08-08,45,0
2020-08-08,46,0
2020-08-08,47,0
2020-08-08,48,0
2020-08-08,US,0
2020-08-08,49,0
2020-08-08,51,0
2020-08-08,50,0
2020-08-08,53,0
2020-08-08,55,0
2020-08-08,54,0
2020-08-08,56,0
2020-08-15,02,0
2020-08-15,01,0
2020-08-15,05,0
2020-08-15,04,0
2020-08-15,06,0
2020-08-15,08,0
2020-08-15,09,0
2020-08-15,11,0
2020-08-15,10,0
2020-08-15,12,0
2020-08-15,13,0
2020-08-15,15,0
2020-08-15,19,0
2020-08-15,16,0
2020-08-15,17,0
2020-08-15,18,0
2020-08-15,20,0
2020-08-15,21,0
2020-08-15,22,0
2020-08-15,25,0
2020-08-15,24,0
2020-08-15,23,0
2020-08-15,26,0
2020-08-15,27,0
2020-08-15,29,0
2020-08-15,28,0
